run_id	condition	trial_type	condition_1	desktop_conf	attent_conf	c_strength	stable_c	stable_col	scenario	efficacy_check	variability_check	age	gender	tech_issues	response	recorded_at	PROLIFIC_PID	str_correct	stab_correct	main_dv	main_dv_rec
55	4	html-slider-response	4	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	62	2: female	"	87	2022-01-04 09:49:51	5e1840d7d32f93116f605fea	correct	correct	0.87	0.87
134	4	html-slider-response	4	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	24	1: male	"	36	2022-01-04 10:38:06	615e95eddff82cf25e73abb2	correct	correct	0.36	0.36
150	4	html-slider-response	4	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	63	1: male	None.	78	2022-01-04 10:47:03	5d21aed085192700013a5282	correct	correct	0.78	0.78
221	4	html-slider-response	4	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	71	1: male	"	100	2022-01-04 12:00:50	5ae0b4bfeb6040000153bbc8	correct	correct	1	1
369	2	html-slider-response	4	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	49	1: male	none	76	2022-01-04 15:08:35	5af59900892f4e000163b98a	correct	correct	0.76	0.76
47	5	html-slider-response	5	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	68	1: male	no errors	79	2022-01-04 09:49:42	5910303f09f09900010f2291	correct	correct	0.79	0.79
59	5	html-slider-response	5	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	39	2: female	"	79	2022-01-04 09:49:58	595f88cc135b5e0001928a9c	correct	correct	0.79	0.79
141	5	html-slider-response	5	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	38	2: female	None	5	2022-01-04 10:46:26	5f8eeed471a1830af422d7a1	correct	correct	0.05	0.05
174	5	html-slider-response	5	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	47	2: female	There was a spelling mistake in the first informative page, I think it was the word 'problem' which should have been 'problems'.	100	2022-01-04 11:23:13	605a25c743f7ab91b0881ddf	correct	correct	1	1
197	5	html-slider-response	5	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	49	1: male	None found during this study.	88	2022-01-04 11:40:26	5de25e3fce20cd28846a7d5b	correct	correct	0.88	0.88
253	5	html-slider-response	5	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	36	1: male	"	61	2022-01-04 12:25:31	5f25419d6c25411a2b68ddd8	correct	correct	0.61	0.61
49	6	html-slider-response	6	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	26	2: female	"	87	2022-01-04 09:49:44	605b2b10df3fd109ccf7f7ea	correct	correct	0.87	0.87
116	6	html-slider-response	6	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	57	2: female	"	100	2022-01-04 10:34:13	57bae671dec5910001467ffd	correct	correct	1	1
190	6	html-slider-response	6	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	45	2: female	All went well, thank you. Interesting study.	79	2022-01-04 11:33:14	580cb179240a2d0001e6b9b3	correct	correct	0.79	0.79
229	6	html-slider-response	6	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	40	1: male	None	84	2022-01-04 12:01:12	601ef22cb13fd83f1f43393e	correct	correct	0.84	0.84
241	6	html-slider-response	6	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	29	2: female	no errors	78	2022-01-04 12:11:58	5f778d553167a12eae0e1c00	correct	correct	0.78	0.78
290	6	html-slider-response	6	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 85%.	1	41	2: female	"	100	2022-01-04 12:30:38	604d8f415e948938fd60b536	correct	correct	1	1
44	7	html-slider-response	7	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	33	2: female	None	0	2022-01-04 09:49:39	60c5210760b2d76c963c402e	correct	correct	0	1
51	7	html-slider-response	7	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	66	1: male	"	14	2022-01-04 09:49:46	6008132eb4bbfe3644a1d44b	correct	correct	0.14	0.86
111	7	html-slider-response	7	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	42	2: female	"	7	2022-01-04 10:34:09	5cc2ecf5e2a25b001ad51820	correct	correct	0.07	0.93
180	7	html-slider-response	7	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	30	2: female	"	0	2022-01-04 11:23:22	5c1d3a99cb7ecd0001f47b9f	correct	correct	0	1
219	7	html-slider-response	7	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	59	2: female	I did not notice any errors in the text or layout.	21	2022-01-04 12:00:49	5a1ab0577542890001aa7fc1	correct	correct	0.21	0.79
311	7	html-slider-response	7	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	28	1: male	"	11	2022-01-04 13:20:20	5d34862748bf98000146b64f	correct	correct	0.11	0.89
85	8	html-slider-response	8	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	64	2: female	"	0	2022-01-04 10:18:51	5ca0b040a8b73d00010a27db	correct	correct	0	1
210	8	html-slider-response	8	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	36	1: male	"	0	2022-01-04 12:00:42	6107a6b5c04431b227e2374f	correct	correct	0	1
278	8	html-slider-response	8	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	34	1: male	"	8	2022-01-04 12:27:40	615d5d7748fd89349d64aeaa	correct	correct	0.08	0.92
314	8	html-slider-response	8	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	36	1: male	"	83	2022-01-04 13:20:26	5c1053202b16ba0001c86317	correct	correct	0.83	0.17
335	1	html-slider-response	8	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	30	1: male	"	11	2022-01-04 14:17:56	5de7ccc24b7cf973d7b05bfb	correct	correct	0.11	0.89
337	5	html-slider-response	8	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 85%.	1	61	2: female	I did not find any technical problems, and the graph was very clear	1	2022-01-04 14:19:13	6150a835a03467f9e2ff56ba	correct	correct	0.01	0.99
43	9	html-slider-response	9	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	31	1: male	All good	62	2022-01-04 09:49:38	5ea9916c3b32cf0dda50f621	correct	correct	0.62	0.38
90	9	html-slider-response	9	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	42	2: female	"	17	2022-01-04 10:18:54	5dc6d78cac77c74d18692044	correct	correct	0.17	0.83
97	9	html-slider-response	9	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	51	2: female	"	26	2022-01-04 10:20:18	5964ee31b752840001ca4ba4	correct	correct	0.26	0.74
189	9	html-slider-response	9	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	25	2: female	"	59	2022-01-04 11:28:09	60fd406b7aed811727b15252	correct	correct	0.59	0.41
212	9	html-slider-response	9	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	43	2: female	I recognized no issues	7	2022-01-04 12:00:43	60fece35afedb0bdd821592a	correct	correct	0.07	0.93
287	9	html-slider-response	9	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	19	2: female	"	36	2022-01-04 12:30:22	60fd25de2a42b71548827823	correct	correct	0.36	0.64
92	10	html-slider-response	10	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	46	2: female	"	64	2022-01-04 10:19:00	5bc3a0bd44b393000103d6ff	correct	correct	0.64	0.36
143	10	html-slider-response	10	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	30	1: male	"	100	2022-01-04 10:46:36	60b0f0950a4ec0e7d36c4229	correct	correct	1	0
175	10	html-slider-response	10	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	25	1: male	"	84	2022-01-04 11:23:15	5a8ad2082a842c0001fce0f2	correct	correct	0.84	0.16
208	10	html-slider-response	10	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	58	2: female	thanks	77	2022-01-04 12:00:40	5c2fcd716ea6880001dc8e3d	correct	correct	0.77	0.23
312	10	html-slider-response	10	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	44	1: male	none	18	2022-01-04 13:20:22	5da760eae8174b001640d369	correct	correct	0.18	0.82
339	29	html-slider-response	10	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	red	School	One had 90% average efficacy and the other 75%.	1	37	1: male	"	86	2022-01-04 14:27:26	6122af5e398815fcb95b6c0f	correct	correct	0.86	0.14
33	11	html-slider-response	11	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	28	1: male	"	35	2022-01-04 09:28:10	5cc8460597eba7001990ead8	correct	correct	0.35	0.35
56	11	html-slider-response	11	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	31	2: female	"	100	2022-01-04 09:49:52	5fa5dd05e6ca1519dd23406d	correct	correct	1	1
130	11	html-slider-response	11	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	39	1: male	"	58	2022-01-04 10:37:58	612f4d9df3c8acbba7f635d0	correct	correct	0.58	0.58
169	11	html-slider-response	11	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	39	1: male	None	23	2022-01-04 11:23:11	598d787cb83f800001a5dc8b	correct	correct	0.23	0.23
204	11	html-slider-response	11	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	61	2: female	"	19	2022-01-04 12:00:35	60f68b570ae2316894fb0a51	correct	correct	0.19	0.19
272	11	html-slider-response	11	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	25	2: female	"	100	2022-01-04 12:25:50	5ed69d3e9ef2ea0e828d06b6	correct	correct	1	1
34	12	html-slider-response	12	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	35	2: female	"	86	2022-01-04 09:31:25	6050d3502fc16abbd9e625cf	correct	correct	0.86	0.86
84	12	html-slider-response	12	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	35	2: female	No errors	83	2022-01-04 10:18:51	5e42855a6cc37110b1c4371e	correct	correct	0.83	0.83
123	12	html-slider-response	12	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	31	1: male	"	90	2022-01-04 10:35:10	61bb372340db417c1a1389c6	correct	correct	0.9	0.9
153	12	html-slider-response	12	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	32	2: female	"	15	2022-01-04 10:52:18	613a5432d1aa152809532495	correct	correct	0.15	0.15
228	12	html-slider-response	12	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	24	1: male	"	93	2022-01-04 12:01:11	600c27a4685f792d0bca05ae	correct	correct	0.93	0.93
277	12	html-slider-response	12	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 75%.	1	42	1: male	"	0	2022-01-04 12:26:53	60f45fc7523abdfd3aad4c80	correct	correct	0	0
46	13	html-slider-response	13	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	33	1: male	"	2	2022-01-04 09:49:40	5f22b315707c8a01e0ca7dc5	correct	correct	0.02	0.02
54	13	html-slider-response	13	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	22	2: female	none	100	2022-01-04 09:49:51	60768c72f4cc270141585ff8	correct	correct	1	1
124	13	html-slider-response	13	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	29	1: male	"	22	2022-01-04 10:35:15	614b11e399369a0d52b5fbf6	correct	correct	0.22	0.22
170	13	html-slider-response	13	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	41	1: male	"	89	2022-01-04 11:23:11	5a553e7976d1c60001aad777	correct	correct	0.89	0.89
195	13	html-slider-response	13	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	64	1: male	"	9	2022-01-04 11:40:26	5ea04f7f43bc6507508c9aba	correct	correct	0.09	0.09
247	13	html-slider-response	13	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	30	2: female	"	77	2022-01-04 12:12:54	613b0b6df72be83b35d16c6c	correct	correct	0.77	0.77
5	14	html-slider-response	14	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	28	2: female	"	100	2022-01-04 09:09:11	61470d4fcc84e0776ed19a94	correct	correct	1	1
77	14	html-slider-response	14	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	49	2: female	"	0	2022-01-04 10:18:47	601a7c931d236c2b6b9c4eb9	correct	correct	0	0
118	14	html-slider-response	14	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	34	2: female	"	82	2022-01-04 10:34:18	59532996d5822e000125a73b	correct	correct	0.82	0.82
185	14	html-slider-response	14	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	27	1: male	"	0	2022-01-04 11:23:31	60d7a326d1e2ae416f2a1b77	correct	correct	0	0
201	14	html-slider-response	14	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	18	2: female	"	100	2022-01-04 11:40:39	610713773c7829093c201743	correct	correct	1	1
274	14	html-slider-response	14	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	Z	red	School	One had 90% average efficacy and the other 75%.	1	29	2: female	"	91	2022-01-04 12:26:02	59efd2b3d838ae000185123a	correct	correct	0.91	0.91
15	15	html-slider-response	15	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	43	2: female	"	19	2022-01-04 09:27:20	5eb087d83d8745127270fb51	correct	correct	0.19	0.81
67	15	html-slider-response	15	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	36	2: female	"	30	2022-01-04 10:02:05	5dc52848b63adf3bbb43f869	correct	correct	0.3	0.7
107	15	html-slider-response	15	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	23	2: female	"	75	2022-01-04 10:34:07	5f8e28f466efcf1f7fa63f8b	correct	correct	0.75	0.25
176	15	html-slider-response	15	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	66	2: female	"	69	2022-01-04 11:23:16	5d79c936196197001a9806e2	correct	correct	0.69	0.31
249	15	html-slider-response	15	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	25	1: male	"	59	2022-01-04 12:25:25	5e466ad1d2a6e513c04b68dd	correct	correct	0.59	0.41
269	15	html-slider-response	15	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	47	2: female	"	63	2022-01-04 12:25:43	5fa92f3172de7e02d5d77656	correct	correct	0.63	0.37
82	16	html-slider-response	16	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	44	1: male	"	75	2022-01-04 10:18:49	60dddb1b0ac9d871e7352b58	correct	correct	0.75	0.25
109	16	html-slider-response	16	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	38	1: male	There were no errors	60	2022-01-04 10:34:09	5edd7f96ca05b8a8b4eebeb4	correct	correct	0.6	0.4
157	16	html-slider-response	16	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	34	1: male	"	93	2022-01-04 11:22:53	5de380cd81d82138a5988448	correct	correct	0.93	0.07
236	16	html-slider-response	16	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	27	2: female	"	0	2022-01-04 12:11:50	602d42c89dc5357103601252	correct	correct	0	1
263	16	html-slider-response	16	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	63	1: male	Everything worked fine, thanks.	97	2022-01-04 12:25:39	5bd2034025db7b000178ad8a	correct	correct	0.97	0.03
310	16	html-slider-response	16	1: I confirm	1: I will take it seriously	0.75 vs. 0.90	A	blue	School	One had 90% average efficacy and the other 75%.	1	50	1: male	none	1	2022-01-04 13:20:03	615884accad120a2438dc099	correct	correct	0.01	0.99
126	17	html-slider-response	17	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	37	2: female	n/a	87	2022-01-04 10:35:27	59396d45b88202000138efb4	correct	correct	0.87	0.13
145	17	html-slider-response	17	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	31	2: female	"	83	2022-01-04 10:46:37	5b55dd9ae173e60001963c1b	correct	correct	0.83	0.17
279	17	html-slider-response	17	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	44	1: male	None noted, or disruptive enough to notice.	78	2022-01-04 12:29:54	61620c697493fd1f0e57a700	correct	correct	0.78	0.22
324	23	html-slider-response	17	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	27	1: male	"	100	2022-01-04 14:03:53	5bf3feb0345b9b00016ead01	correct	correct	1	0
325	13	html-slider-response	17	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	20	2: female	"	83	2022-01-04 14:03:56	610ef10774c47afa01471973	correct	correct	0.83	0.17
326	9	html-slider-response	17	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	26	2: female	"	81	2022-01-04 14:04:01	614f9a284f135b4da3329968	correct	correct	0.81	0.19
17	18	html-slider-response	18	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	33	2: female	"	81	2022-01-04 09:27:24	59e089adac0af70001b3652e	correct	correct	0.81	0.19
133	18	html-slider-response	18	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	48	2: female	"	74	2022-01-04 10:38:05	5c35f95a4bbda70001fa2a42	correct	correct	0.74	0.26
164	18	html-slider-response	18	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	53	2: female	none	93	2022-01-04 11:23:08	61588d3760a3e57cb950a6eb	correct	correct	0.93	0.07
283	18	html-slider-response	18	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	43	2: female	None.	79	2022-01-04 12:29:58	5e0fac24500f066c547f6376	correct	correct	0.79	0.21
317	18	html-slider-response	18	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	67	2: female	No errors to report. I would love to hear more about your study. Can you signpost me to the 40 different learning styles, please? All the best.	92	2022-01-04 13:20:28	5e7f1c5ee2d6185def08ac67	correct	correct	0.92	0.08
340	26	html-slider-response	18	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	A	red	School	One had 90% average efficacy and the other 65%.	1	33	2: female	"	0	2022-01-04 14:28:37	615efd1df11a7d21f0f12f68	correct	correct	0	1
36	19	html-slider-response	19	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 65%.	1	33	1: male	"	89	2022-01-04 09:35:18	5b5dc6a1098c14000185fada	correct	correct	0.89	0.89
95	19	html-slider-response	19	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 65%.	1	41	2: female	"	100	2022-01-04 10:19:45	61486b7bb62283d3f37e8116	correct	correct	1	1
117	19	html-slider-response	19	1: I confirm	1: I will take it seriously	0.65 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 65%.	1	34	2: female	none	13	2022-01-04 10:34:14	5efb04550f078e000827db6e	correct	correct	0.13	0.13
