sID	Condition	Strength	Level	Unstable_label	Unstable_col	rating_stable	rating_unstable	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Justification	Efficacy_check	Variability_check	Technical_issues	Duration (sek)	scenario_check
937	3	ninety	government	Zyphranol	blue	45	82	1	1	35	1	Both medicines offer a 90% result, with the Z-name type, compared to the A-type, having more chances of being less effective. However, only 4 blood types were reported as being under 50% effective, with the majority being ~100% effective. Thats why I felt the Z-type was a better choice; for more people the results were higher.	8	1	none	684	correct
940	3	ninety	government	Zyphranol	blue	100	0	1	1	39	2	I would choose Alcetyne as my first choice because:  1. it has no severe side effects  2. unlike with Zyphranol, the success of early treatment with Alcetyne does not depend a great deal o a patient's blood composition, thereby making it more effective as a treatment option.	8	1	Nil.	1233	correct
941	3	ninety	government	Zyphranol	blue	100	0	1	1	32	1	Since there is a known issue, I would sleep better at night knowing we are helping all people, rather than some, but not all.	8	1	-99	322	correct
942	3	ninety	government	Zyphranol	blue	96	4	1	1	19	2	Actylone was much steadier vs the other one which was really infrequent	8	1	-99	129	correct
946	3	ninety	government	Zyphranol	blue	100	1	1	1	92	1	In my view the most sensible course would be to order both medicines and screen recipients for blood group, giving each patient the drug which gives them the greatest probability of survival and increasing the overall rate of survival. However as this is apparently ruled out, it seems unreasonable to knowingly adminster those patients with adverse odds due to their blood composition to a worse outcome.	8	2	-99	518	incorrect
947	3	ninety	government	Zyphranol	blue	95	41	1	1	23	2	I chose the first one because it does not interfere with the person's blood composition, thus resulting in being 90% effective despite the person's blood type.	8	1	n/a- I wrote  the first one  because I couldn't remember how to spell it	253	correct
950	3	ninety	government	Zyphranol	blue	95	8	1	1	43	1	I gave Alcetyne a high rating because the risk is spread more fairly among the population. I gave Zyphanol a low rating because it would be unfairly ineffective towards people who happen to have a certain blood composition through no fault of their own.	8	1	none.	563	correct
952	3	ninety	government	Zyphranol	blue	99	3	1	1	74	1	I chose to suggeast that the medicine with little or no side effects should be ordered.  It is not correct to put people of a certain blood type at risk	8	3	-99	413	incorrect
953	3	ninety	government	Zyphranol	blue	100	0	1	1	23	1	I chose Alcetyne over Zyphranol, because more lives can be saved.	8	1	-99	1481	correct
956	3	ninety	government	Zyphranol	blue	93	8	1	1	59	2	The one beginning with A seemed to have a more predictable response and didn't vary depending on blood groups.	8	1	None.	436	correct
957	3	ninety	government	Zyphranol	blue	100	0	1	1	48	1	I chose the safe bet,  The drug which will help 90% of the population no matter what blood group they are.	8	1	-99	315	correct
958	3	ninety	government	Zyphranol	blue	100	4	1	1	59	2	Alcetyne's efficacy fluctuates far less than does Zyphranol's, therefore more people have a better chance of receiving effective treatment if given Alcetyne.  More will probably die if given Zyphranol as it is far less effective for some blood types than for others.	8	1	-99	465	correct
959	3	ninety	government	Zyphranol	blue	0	19	1	1	50	1	the one medicine gives you 90% for survival ,so i decided to pick that one cos i think you know what to expect, where the other one is unpredictable	8	1	none	483	correct
961	3	ninety	government	Zyphranol	blue	81	18	1	1	29	2	The medicine with the poor effects depending on blood composition is better than the other, but i think that people should be given an equal chance.	8	1	-99	204	correct
964	3	ninety	government	Zyphranol	blue	100	0	1	1	52	1	the drug beginning with the letter z is completely ineffective on some patients and its success varies wildly for many other patients. it is a fairer option to choose thedrug with begins with the letter a to make sure all the people get a fair chance of surviving the infection	8	1	-99	717	correct
968	3	ninety	government	Zyphranol	blue	96	9	1	1	31	2	The A medicine has a greater success rate regardless of blood type in comparison to the Z medicine, therefore if it is an urgent situation and only one can be ordered and offered to the public it should be the A medicine. However if it was not such an urgent situation I think the better reaction would be to have both available and perform bloodtype tests on each individual as the Z medicine has a 100% success rate for select bloodtypes.	8	1	-99	372	correct
969	3	ninety	government	Zyphranol	blue	53	48	1	1	18	2	The reason i chose the ratings is because the medication can cause damage to the blood and risk the persons life	8	3	-99	297	incorrect
972	3	ninety	government	Zyphranol	blue	76	16	1	1	55	2	Alcetyne gives a wider range of people the chance to survive/recover which I think is better	8	1	-99	541	correct
974	3	ninety	government	Zyphranol	blue	91	93	1	1	39	2	I FEEL THAT THE BENEFITS FAR OUTWEIGH THE RISKS	8	1	NO ERRORS	444	correct
851	4	ninety	personal	Zyphranol	blue	75	86	1	1	37	1	I feel like I'd rather have a 100% chance of a cure based on the chances of me not falling into one of the bad blood groups, than a 85%ish chance of a cure flat-out; at least that's my initial reaction at this time.	8	1	-99	445	correct
853	4	ninety	personal	Zyphranol	blue	100	0	1	1	30	2	The medicine I chose does not depend much on a patient's blood type. Therefore I would have a better chance of surviving with that medicine.	8	1	-99	423	correct
855	4	ninety	personal	Zyphranol	blue	100	16	1	1	21	2	Although a 100% survivability sounds great, when gambling that you may have an affected blood type, I would choose the consistent 90% every time (unless quick blood testing could become possible in the future).	8	1	-99	388	correct
859	4	ninety	personal	Zyphranol	blue	93	9	1	1	29	2	One is guaranteed effectiveness of 90% whereas the other one could be 0% effective. I obviously wouldn't take the risk of 0% given that 90% is a very good chance of it being effective.	8	1	On the last page there's a type - medicne	361	correct
860	4	ninety	personal	Zyphranol	blue	99	11	1	1	21	2	According to the research the drug I chose to take has a higher likelihood of working for me regardless of my bloodtype. It does not seem to be worth the risk to try the other drug.	8	2	The grammar is a bit difficult to read through in the explanation of the two drugs section	319	incorrect
861	4	ninety	personal	Zyphranol	blue	100	87	1	1	27	2	Alectyne has a much more consistent result which makes me feel better about taking it than the alternative which can be risky. I don't want to take chances.	8	1	-99	227	correct
864	4	ninety	personal	Zyphranol	blue	99	70	1	1	35	2	if i had a choice i would pick the more stable medication A. But if there was no choice and the only option was medication Z, i would take my chances with the medication Z because i was going to die anyway so why not take my chances.	8	1	all fine from what i could see.	462	correct
866	4	ninety	personal	Zyphranol	blue	99	1	1	1	41	2	I feel I would have a higher chance of survival with this	8	1	-99	190	correct
868	4	ninety	personal	Zyphranol	blue	100	13	1	1	53	2	it's a better, more reliable choice that would work more effectively than other option so hopefully more chance of me being OK	8	1	-99	880	correct
869	4	ninety	personal	Zyphranol	blue	95	15	1	1	20	2	No matter the blood type, the chances of the drug I chose are constant and therefore safer or less risky	8	3	None	1538	incorrect
871	4	ninety	personal	Zyphranol	blue	100	0	1	1	27	2	I would rather take the drug that is consistent across the board than one that has a chance of not working at all if my blood is a certain type.	8	1	-99	143	correct
873	4	ninety	personal	Zyphranol	blue	50	51	1	1	35	2	I would use either pill given the reason it has a 90% effective rate. So I will only know once I have taken the pill.	8	3	none	960	incorrect
875	4	ninety	personal	Zyphranol	blue	96	6	1	1	23	2	Since I'm not aware of my blood composition, I wouldn't want to risk taking the medicine that has varying efficacy for certain blood compositions. Since they both give a 90% chance of survival on average, I would use the one that doesn't really depend on blood composition as much.	8	1	no errors but i may have mixed up the names on the last question but not when i was answering which medicine i would take because the graph was right there in front of me	290	correct
876	4	ninety	personal	Zyphranol	blue	100	0	1	1	32	2	Given that it's an emergency and I probably have no time to take a blood test, Alcetyne seems logical and safest to take. Although both are equally effective the fact that the Zyphranol's effectiveness is highly dependent on my blood type (in this case which I may not know) makes me choose the alternative medicine.	8	1	No problems at all.	931	correct
878	4	ninety	personal	Zyphranol	blue	100	13	1	1	23	2	If i did not jnow my blood composition - i would not risk taking the medication that has the greatest variables. I think i would have a better chance of survival if i stick to the medicaiton starting with A	8	1	-99	318	correct
881	4	ninety	personal	Zyphranol	blue	86	0	1	1	44	2	Without knowing my blood type, I would rather take the treatment that ha an average 90% success rate for everyone, rather than risking the other treatment not working for me at all.	8	1	-99	266	correct
883	4	ninety	personal	Zyphranol	blue	99	1	1	1	30	2	I would take the more stable drug seeing as I don't know my blood composition and therefore if I'd be taking an unnecessary risk.	8	1	-99	275	correct
884	4	ninety	personal	Zyphranol	blue	99	1	1	1	46	1	I do not know my blood composition. It would be safer taking the medication that was effected by blood composition.	8	1	-99	515	correct
891	4	ninety	personal	Zyphranol	blue	100	1	1	1	58	1	I chose Alcetyne because it gives me a 90% (which to me is a good percentage) chance of survival even though it heavily depends on my blood type.   On the other hand while Zyphranol on the graph shows that there is a 100% rate of survival it also shows results that are just to erratic (low to zero percentages) and poses a higher fatal risk.	8	3	None	1382	incorrect
893	4	ninety	personal	Zyphranol	blue	73	28	1	1	51	2	Without knowing my blood compositions, the risk of taking the medicine which could NOT work at all, is too high. I'll stick with 90% across the board.	8	1	none	184	correct
894	4	ninety	personal	Zyphranol	blue	98	28	1	1	53	2	I feel there is more of a risk with the Z one. I would prefer A one	8	1	none	321	correct
897	4	ninety	personal	Zyphranol	blue	100	0	1	1	32	2	The medication I chose was the one with the one with the stable success rate across all blood types. I felt that unless I knew my own blood type,it would be too risky to choose the other option.	8	1	-99	295	correct
898	4	ninety	personal	Zyphranol	blue	52	1	1	1	37	2	the one is more consistent throughout all blood types whilst the other shows favour in some and less favour to some blood types	8	3	-99	682	incorrect
899	4	ninety	personal	Zyphranol	blue	100	0	1	1	58	1	I did not want to take the risk that I may have a blood type that would significantly reduce the effectiveness of the drug.	8	1	-99	471	correct
903	4	ninety	personal	Zyphranol	blue	90	20	1	1	29	2	Alcetyne has a more consistent survival rate than Zyphranol. As I don't have time to work out what my blood composition is I'd rather go for the drug that doesn't change it's efficiency due to blood composition than the one that does. I also found the fluctuations to be too great with the Zyphranol to risk my survival outcomes.	8	1	One small typo on 'explanations', but other than that there weren't any other errors that I spotted.	474	correct
904	4	ninety	personal	Zyphranol	blue	85	34	1	1	59	2	I would choose to take the vaccine with the lower risk.	8	1	-99	216	correct
907	4	ninety	personal	Zyphranol	blue	91	6	1	1	37	1	They are in the end statistically identical, but I will ALWAYS have a 90% chance of survival with my chosen one. If I did have one of the unfortunate compositions, I could have as low as a 0% chance of survival with the other medicine.	8	1	No issues	220	correct
908	4	ninety	personal	Zyphranol	blue	81	19	1	1	54	2	I would use the drug that responds best to blood type	8	2	-99	315	incorrect
909	4	ninety	personal	Zyphranol	blue	100	60	1	1	25	2	If unable to determine blood composition before treatment then it surely it woud make more sense to take the pill that does not rely on that	8	1	-99	238	correct
912	4	ninety	personal	Zyphranol	blue	84	15	1	1	55	1	As I'm unable to determine the blood makeup, I'd take the medicine that provides the best overall average for survival without question, as I feel this would improve my chances of survival.	8	1	No problem with the study for me.	320	correct
916	4	ninety	personal	Zyphranol	blue	64	87	1	1	45	2	Although both medicines have almost the same success rate in helping patients if administered early, I think Zyphronol shows higher chances of being effective than Aicetyne.	8	1	I have not come across any problems.	720	correct
917	4	ninety	personal	Zyphranol	blue	99	0	1	1	43	1	I chose to take the drug that I did on the grounds that it seemed to offer a more even chance of saving my life (regardless of my blood group), even though statistically they both offer an equal chance of doing so, meaning that my strong preference for this drug is probably illogical.	8	1	-99	299	correct
918	4	ninety	personal	Zyphranol	blue	95	6	1	1	44	2	It seems to risky to take the one that varies by blood composition when your own is not known. To be honest though, I would also ask the advice of the consultants, as they would likely have an opinion on what is best based on experience.	8	1	-99	523	correct
919	4	ninety	personal	Zyphranol	blue	100	1	1	1	32	2	In my ratings, I stated that I would definitely take Alcetyne over Zyphranol. I did this because I am a risk averse person so I wouldn't want to take my chance with Zyphranol just in case I did have a blood composition that didn't work well with the drug. I would like knowing for sure that I had at least a 90 percent chance of survival with Alcetyne. It just doesnt make sense to me to take the risk of taking Zyphranol when there's a chance it wouldn't work and you could die from the disease.	8	1	None thank you	1156	correct
922	4	ninety	personal	Zyphranol	blue	99	51	1	1	56	2	I'd rather take the drug with a 90% chance of survival rather than risk taking the drug which has poor results in certain blood types/chemistries. If there was time to have my blood type tested, I would make a more considered choice, but as I can't get my blood tested, I would go with the drug which works equally as well for everyone in the population.	8	1	-99	940	correct
924	4	ninety	personal	Zyphranol	blue	98	2	1	1	31	2	i dont know about my blood composition so as this doesnt effect the results as much with Alcetyne i would go with this one	8	1	-99	364	correct
929	4	ninety	personal	Zyphranol	blue	99	0	1	1	44	2	The probability that I had an incompatible blood composition would prevent me from taking the pill that has the higher mortality rate.	8	1	none	188	correct
930	4	ninety	personal	Zyphranol	blue	99	2	1	1	54	2	if there is no time to find out blood type, then taking the one that is morelikely to help is the best choice	8	1	-99	163	correct
936	4	ninety	personal	Zyphranol	blue	99	3	1	1	55	2	i fel the potential risk of efficacy failure of the drug makes the decision easy - more reliability means there is not really a choice	8	1	-99	390	correct
938	4	ninety	personal	Zyphranol	blue	90	10	1	1	24	2	Alcetyne seems to be the more predictable option, especially since I would not have been able to determine my blood composition.	8	1	-99	547	correct
939	4	ninety	personal	Zyphranol	blue	100	20	1	1	40	2	I chose the medicine that seemed to be more consistent, as I don't know by blood composition.	8	1	-99	301	correct
943	4	ninety	personal	Zyphranol	blue	100	0	1	1	34	1	Having a 90% chance is better than having a 50/50 shot at getting more than a 90% chance.	8	1	-99	189	correct
944	4	ninety	personal	Zyphranol	blue	84	35	1	1	24	1	i gave these ratings as i think Alcetyne is more reliable for me even though Zyphranol would work better for some patients than others i feel it is a bit unpredictable in my honest opinion as it could work great above 90% or maybe not reach that percentage at all	8	1	-99	536	correct
945	4	ninety	personal	Zyphranol	blue	87	17	1	1	28	1	I have given these ratings as it seems Alcetyne is more effective and comes with less risks, whereas with the other medication you may run into issues if you have a certain blood composition. Although I do not think I have any of these certain blood compositions, I would feel more comfortable taking the medication that has less risk associates with it.	8	1	-99	300	correct
948	4	ninety	personal	Zyphranol	blue	93	20	1	1	24	1	It would make more sense to take the Alcetyne as it has less of a risk the odds of surviving are less random and blood type is not much of a factor.  The Zyphranol might increase the odds of survival if you have the required blood composition but if you do not it decreases your odds of survival by alot.	8	1	-99	668	correct
949	4	ninety	personal	Zyphranol	blue	92	21	1	1	26	1	As I am not sure of my blood composition, I would rather take the 90% chance of survival than risk having a potentially lower chance of survival.	8	2	-99	244	incorrect
951	4	ninety	personal	Zyphranol	blue	100	2	1	1	21	2	I said i will take Alcetyne because regardless of my blood composition, there is a constant 90% probability to survive and i said i will not choose zyphranol because if my blood composition is not the one it supports, my chances at life are low.	8	1	-99	614	correct
954	4	ninety	personal	Zyphranol	blue	96	17	1	1	56	2	I noticed that with acetyl there is not much change from the graph  -   the red line is more on a straight line than the blue one	8	3	none	996	incorrect
955	4	ninety	personal	Zyphranol	blue	100	2	1	1	66	2	I would prefer to take Alcetyne as although its top percentage for recovery is slightly lower than the top percentage for recovery with Zyphranol - the drastic drop in recovery rate for some blood composition types with Zyphranol is far too risky.	8	1	Did not notice any	520	correct
960	4	ninety	personal	Zyphranol	blue	100	0	1	1	19	2	As there is an equal chance of having a blood composition positively-affected or very negatively-affected by the other pill, Alcetyne looks like it would have a higher chance of me not dying. That is, I find Alcetyne more reliable since I do not know my blood composition.	8	1	N/A	190	correct
962	4	ninety	personal	Zyphranol	blue	99	23	1	1	21	2	Alcetyne is not affected by blood composition, so I would feel safer taking it. But Zyphranol may work better depending on what my blood composition is so I wouldn't discount it entirely.	8	1	-99	184	correct
965	4	ninety	personal	Zyphranol	blue	90	10	1	1	34	1	I would try to minimise how much of a gamble that the medicine is on whether it will be effective enough or not. Obviously there's a chance that either 1 wouldn't save my life, but a certain 90% is more attractive to me than potentially a bit more, but also potentially a lot less.	8	1	-99	387	correct
966	4	ninety	personal	Zyphranol	blue	54	55	1	1	57	2	everyone dies, therefore it does not matter to me at all which drug I take, life is a lottery after all, I could re act well to one drug and on my way home I get hit by a bus, either drug suit me just fine regardless of so called benefits	8	1	-99	273	correct
967	4	ninety	personal	Zyphranol	blue	100	0	1	1	38	1	I choose the drug represented by the red line because mathematically there is a greater chance that my blood composition will be compatible with it.	8	1	-99	377	correct
970	4	ninety	personal	Zyphranol	blue	94	52	1	1	25	2	I wuold take the red (the alcetyl one) because it is consistenly aroound the 75th percentile whereas the other one (the blue zenophyl one) is inconsistent and varies dramatically whereas it will be very high but than also very low, therefore its unpredictable. I would prefer to stick with the predictable one	3	1	nil	326	incorrect
971	4	ninety	personal	Zyphranol	blue	81	26	1	1	19	2	I would like the chances of surviving for patients to be similar. Then there is a higher chance that more people will survive than having medication that means that some people have very little chance. It is more controlled then.	8	1	-99	284	correct
973	4	ninety	personal	Zyphranol	blue	100	56	1	1	69	1	The element of risk with either is acceptable, but with Alcetyne it is better across all blood types, while with Zyphranol, with a higher rate across most types, it is disastrous on 4 blood types and not as good on 4 others. While the mathematics balance, more figures should be given on the population numbers with the different blood types is needed to be able to make an informed decision.	8	1	-99	1029	correct
977	4	ninety	personal	Zyphranol	blue	100	1	1	1	20	2	Alcetyne has an equal  probability of preventing death on all blood compositions unlive Zyphranol which has a very low probability on some blood composition	8	1	No errors	771	correct
