run_id	recorded_at	age	gender	main_dv	tech_issues	stable_cause	efficacy_check	variability_check	desktop_conf	att_conf	causal_strength	decision_level	str_correct	stab_correct	main_dv_rec
154	26.12.2021 07:03	19	3	0.18	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.82
177	26.12.2021 07:04	32	1	0.23	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.77
217	26.12.2021 08:08	56	2	0.75	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.25
243	26.12.2021 08:09	68	1	0.19	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.81
271	26.12.2021 09:19	22	2	0.06	"{""Q0"":""N/A""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.94
293	26.12.2021 09:20	42	2	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	1
305	26.12.2021 11:18	71	1	0.94	"{""Q0"":""No errors as far as I could see.""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.06
330	26.12.2021 11:18	31	1	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	1
361	26.12.2021 13:02	49	2	0.34	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.66
381	26.12.2021 13:46	30	2	0.05	"{""Q0"":""None""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.95
400	26.12.2021 13:47	49	1	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	1
441	27.12.2021 06:54	44	1	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	1
452	27.12.2021 07:27	36	2	0.03	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.97
44	25.12.2021 18:20	23	2	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
65	25.12.2021 18:20	19	1	0.87	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.87
99	26.12.2021 06:33	33	1	0.99	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.99
110	26.12.2021 06:34	28	2	0.74	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.74
143	26.12.2021 06:35	20	2	0.87	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.87
167	26.12.2021 07:04	36	1	0.91	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.91
179	26.12.2021 07:04	34	1	0.89	"{""Q0"":""I did not notice any errors ""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.89
210	26.12.2021 08:07	38	1	0.72	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.72
241	26.12.2021 08:09	35	1	1	"{""Q0"":""None""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
269	26.12.2021 09:19	21	2	1	"{""Q0"":""No issues were noted during the study.""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
318	26.12.2021 11:18	40	1	1	"{""Q0"":""no errors""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
326	26.12.2021 11:18	64	1	1	"{""Q0"":""none, everything worked well. interesting study. the obvious solution would be to have both drugs, providing they are not contraindicated.""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
345	26.12.2021 13:02	20	1	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
370	26.12.2021 13:46	30	1	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
423	27.12.2021 06:31	41	2	0.62	"{""Q0"":""none""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.62
453	27.12.2021 07:38	61	1	0.87	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.87
13	25.12.2021 16:51	35	1	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	1
34	25.12.2021 17:40	24	1	0.96	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.96
58	25.12.2021 18:20	27	3	0.64	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.64
80	25.12.2021 18:22	73	2	0.44	"{""Q0"":""all clear thank you""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.44
120	26.12.2021 06:34	43	1	0.8	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.8
146	26.12.2021 06:35	20	2	0.99	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.99
187	26.12.2021 07:04	35	2	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	1
222	26.12.2021 08:08	18	1	0.74	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.74
232	26.12.2021 08:08	21	2	0.81	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.81
259	26.12.2021 09:19	58	2	0.04	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.04
312	26.12.2021 11:18	20	1	0.28	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.28
360	26.12.2021 13:02	21	2	0.95	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.95
375	26.12.2021 13:46	31	2	0.72	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.72
418	27.12.2021 06:31	20	1	0.75	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.75
454	27.12.2021 08:09	37	1	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	1
455	27.12.2021 08:10	25	2	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	1
20	25.12.2021 16:51	66	2	0.96	"{""Q0"":""none""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.96
52	25.12.2021 18:20	32	1	0.88	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.88
83	25.12.2021 18:22	26	2	0.9	"{""Q0"":""none that I can remember""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.9
125	26.12.2021 06:34	31	2	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
136	26.12.2021 06:35	60	1	0.82	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.82
171	26.12.2021 07:04	50	2	0.14	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.14
181	26.12.2021 07:04	38	1	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
237	26.12.2021 08:08	60	2	0.92	"{""Q0"":""none""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.92
262	26.12.2021 09:19	35	2	0.73	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.73
286	26.12.2021 09:20	26	2	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
333	26.12.2021 11:18	74	1	1	"{""Q0"":""did not notice any errors""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
353	26.12.2021 13:02	22	1	1	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
397	26.12.2021 13:46	75	1	0.91	"{""Q0"":""none""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.91
456	27.12.2021 08:22	24	2	0.42	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.42
457	27.12.2021 08:23	33	1	1	"{""Q0"":""There were no errors, the study went on smoothly, and it was very easy to understand.""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	1
458	27.12.2021 08:25	46	1	0.84	"{""Q0"":""no errors i noticed""}"	Z	85	2	1	1	eightyfive	personal	correct	correct	0.84
1	25.12.2021 16:14	24	2	0.83	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.83
51	25.12.2021 18:20	25	2	1	"{""Q0"":""None. ""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	1
89	26.12.2021 06:33	42	2	0.94	"{""Q0"":""none""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.94
112	26.12.2021 06:34	23	2	0.93	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.93
149	26.12.2021 06:39	27	1	0.83	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.83
175	26.12.2021 07:04	23	1	0.09	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.09
257	26.12.2021 08:19	20	2	0.88	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.88
277	26.12.2021 09:19	43	2	0.44	"{""Q0"":""N/A""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.44
339	26.12.2021 11:19	20	1	0.96	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.96
369	26.12.2021 13:46	21	2	0.77	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.77
395	26.12.2021 13:46	34	1	0.93	"{""Q0"":""seemed fine""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.93
421	27.12.2021 06:31	37	1	1	"{""Q0"":""None that i recall.""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	1
460	27.12.2021 09:15	25	1	0.3	"{""Q0"":""None""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.3
461	27.12.2021 09:15	44	2	0.74	"{""Q0"":""none""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.74
462	27.12.2021 09:15	27	2	0	"{""Q0"":""None""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0
525	28.12.2021 06:47	23	2	0.36	"{""Q0"":""}"	Z	85	2	1	1	eightyfive	general_norm	correct	correct	0.36
39	25.12.2021 17:41	36	2	0.32	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.68
57	25.12.2021 18:20	65	2	0.31	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.69
113	26.12.2021 06:34	42	1	0.73	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.27
144	26.12.2021 06:35	48	1	1	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0
152	26.12.2021 07:03	28	2	0.16	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.84
198	26.12.2021 08:07	67	2	0.31	"{""Q0"":""none""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.69
212	26.12.2021 08:07	42	1	0.15	"{""Q0"":""I did not notice any issues that I could make a note of""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.85
247	26.12.2021 08:09	63	2	1	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0
309	26.12.2021 11:18	38	2	0.25	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.75
336	26.12.2021 11:18	19	2	0.18	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.82
392	26.12.2021 13:46	46	1	0.87	"{""Q0"":""None""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.13
439	27.12.2021 06:54	26	2	0.14	"{""Q0"":""None ""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.86
446	27.12.2021 06:55	20	1	0.24	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.76
466	27.12.2021 09:49	58	1	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	1
467	27.12.2021 09:49	60	2	0.11	"{""Q0"":""No issues, thank you""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.89
468	27.12.2021 09:50	19	1	0.09	"{""Q0"":""None""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.91
46	25.12.2021 18:20	35	1	0.21	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.79
78	25.12.2021 18:21	41	1	0.63	"{""Q0"":""n/a""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.37
91	26.12.2021 06:33	19	2	0.25	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.75
132	26.12.2021 06:34	27	2	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	1
185	26.12.2021 07:04	23	2	0.72	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.28
206	26.12.2021 08:07	62	2	0.03	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.97
244	26.12.2021 08:09	22	2	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	1
249	26.12.2021 08:09	62	2	0.14	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.86
315	26.12.2021 11:18	62	1	0.1	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.9
337	26.12.2021 11:19	32	1	0.09	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.91
362	26.12.2021 13:03	57	2	0.9	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.1
390	26.12.2021 13:46	38	1	0.39	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.61
398	26.12.2021 13:47	67	1	0.29	"{""Q0"":""no issues\n\nThank you. ""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.71
432	27.12.2021 06:37	23	2	0.22	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.78
469	27.12.2021 09:58	25	2	0.28	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.72
470	27.12.2021 09:59	38	2	0.14	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.86
23	25.12.2021 17:00	43	2	0.66	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.34
40	25.12.2021 17:41	24	1	0	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	1
68	25.12.2021 18:20	53	1	0.32	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.68
88	25.12.2021 18:34	22	2	1	"{""Q0"":""none""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0
121	26.12.2021 06:34	26	1	0.83	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.17
129	26.12.2021 06:34	25	1	1	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0
199	26.12.2021 08:07	36	2	0.79	"{""Q0"":""No issues""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.21
215	26.12.2021 08:07	20	1	0.28	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.72
239	26.12.2021 08:08	62	2	0.14	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.86
268	26.12.2021 09:19	36	1	1	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0
287	26.12.2021 09:20	32	2	0.28	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.72
341	26.12.2021 11:19	35	2	1	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0
357	26.12.2021 13:02	53	1	0.39	"{""Q0"":""No errors. Thanks""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.61
368	26.12.2021 13:46	45	1	0	"{""Q0"":""Everything appeared to be fine and understandable. ""}"	A	75	1	1	1	seventyfive	personal	correct	correct	1
402	26.12.2021 13:47	28	2	0.18	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	0.82
417	27.12.2021 06:31	23	1	0	"{""Q0"":""}"	A	75	1	1	1	seventyfive	personal	correct	correct	1
4	25.12.2021 16:17	27	2	0.35	"{""Q0"":""N/A""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.65
42	25.12.2021 17:42	54	1	0.48	"{""Q0"":""none""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.52
56	25.12.2021 18:20	23	3	0.34	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.66
81	25.12.2021 18:22	24	2	0.76	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.24
115	26.12.2021 06:34	71	1	1	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0
134	26.12.2021 06:35	45	1	0	"{""Q0"":""<U+0001F44C>""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	1
173	26.12.2021 07:04	24	1	0.21	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.79
183	26.12.2021 07:04	39	2	0.18	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.82
214	26.12.2021 08:07	65	1	0.77	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.23
226	26.12.2021 08:08	26	2	0.13	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.87
255	26.12.2021 08:14	35	1	0.68	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.32
274	26.12.2021 09:19	39	1	0.86	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.14
307	26.12.2021 11:18	66	2	1	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0
321	26.12.2021 11:18	32	1	1	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0
349	26.12.2021 13:02	31	2	0.18	"{""Q0"":""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.82
376	26.12.2021 13:46	59	1	0.67	"{""Q0"":""no errors""}"	A	75	1	1	1	seventyfive	general_norm	correct	correct	0.33
3	25.12.2021 16:16	26	1	0.32	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.32
32	25.12.2021 17:40	53	2	0.92	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.92
94	26.12.2021 06:33	27	1	1	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	1
124	26.12.2021 06:34	57	2	0.84	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.84
145	26.12.2021 06:35	64	2	0.17	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.17
189	26.12.2021 07:05	32	2	0.09	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.09
242	26.12.2021 08:09	22	2	0.35	"{""Q0"":""none""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.35
250	26.12.2021 08:09	52	1	0.06	"{""Q0"":""Good survey""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.06
290	26.12.2021 09:20	62	1	0.95	"{""Q0"":""seems ok""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.95
298	26.12.2021 09:20	21	1	0.82	"{""Q0"":""None""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.82
363	26.12.2021 13:03	28	2	0.13	"{""Q0"":""N/A - it was very well explained. ""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.13
385	26.12.2021 13:46	24	2	0.66	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.66
394	26.12.2021 13:46	53	2	0.69	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.69
438	27.12.2021 06:54	37	1	0.84	"{""Q0"":""no errors""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.84
471	27.12.2021 10:45	57	2	0.76	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.76
472	27.12.2021 10:50	30	3	0.88	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.88
6	25.12.2021 16:18	29	2	0.84	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.84
35	25.12.2021 17:40	57	2	0.3	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.3
76	25.12.2021 18:21	32	4	0.06	"{""Q0"":""none at all.""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.06
98	26.12.2021 06:33	18	2	0.9	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.9
114	26.12.2021 06:34	25	2	0.76	"{""Q0"":""No errors""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.76
150	26.12.2021 06:40	23	2	0.22	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.22
170	26.12.2021 07:04	26	1	0.98	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.98
192	26.12.2021 07:05	27	1	0.09	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.09
204	26.12.2021 08:07	57	2	0.43	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.43
238	26.12.2021 08:08	29	2	0.23	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.23
253	26.12.2021 08:10	24	1	0.11	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.11
282	26.12.2021 09:19	43	1	0.98	"{""Q0"":""No Errors.""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.98
304	26.12.2021 11:18	55	1	0.2	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.2
328	26.12.2021 11:18	32	1	0.09	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.09
355	26.12.2021 13:02	67	1	0.2	"{""Q0"":""None""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.2
405	26.12.2021 13:48	37	2	0.16	"{""Q0"":""none""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.16
17	25.12.2021 16:51	31	2	0.14	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.14
49	25.12.2021 18:20	21	1	0.57	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.57
90	26.12.2021 06:33	23	2	0.19	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.19
111	26.12.2021 06:34	58	1	1	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	1
142	26.12.2021 06:35	56	2	1	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	1
163	26.12.2021 07:03	43	2	0.79	"{""Q0"":""No errors noticed.""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.79
191	26.12.2021 07:05	24	2	0.77	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.77
207	26.12.2021 08:07	50	1	0	"{""Q0"":""all was ok""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0
240	26.12.2021 08:08	53	2	0.27	"{""Q0"":""it was all fine, thanks""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.27
258	26.12.2021 09:19	36	2	1	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	1
272	26.12.2021 09:19	70	2	0.16	"{""Q0"":""none""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.16
314	26.12.2021 11:18	29	1	0	"{""Q0"":""None""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0
371	26.12.2021 13:46	40	2	0.87	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.87
408	26.12.2021 13:57	19	1	0.77	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.77
474	27.12.2021 11:32	50	2	0.27	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.27
476	27.12.2021 11:32	34	2	0.86	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	personal	correct	correct	0.86
8	25.12.2021 16:20	57	2	0	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0
77	25.12.2021 18:21	44	2	1	"{""Q0"":""no errors found""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	1
118	26.12.2021 06:34	27	1	0.18	"{""Q0"":""none""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.18
133	26.12.2021 06:34	33	2	0.18	"{""Q0"":""I did not notice any errors during the study, The only thing I can think of is on the graph, there should have been a legend because there was more than one line on the graph.""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.18
155	26.12.2021 07:03	28	1	0.25	"{""Q0"":""}"	Z	75	2	1	1	seventyfive	general_norm	correct	correct	0.25
